c1		c2		c1parents		c2parents		conf	match	alt_c1		alt_c2		ignored_c1
CORE:0000011	atom	Wikidata:Q16766305	Atom	CORE:0000006	material entity	Wikidata:Q13741|Wikidata:Q522972	integrated development environment|source code editor	low	atom			Wikidata:Q1607053|Wikidata:Q1800709|Wikidata:Q20165647|Wikidata:Q267956|Wikidata:Q29719|Wikidata:Q40325709|Wikidata:Q4817193|Wikidata:Q4817196|Wikidata:Q4817198|Wikidata:Q5486899|Wikidata:Q5685120|Wikidata:Q59310616|Wikidata:Q9161734	Atom|atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|atom|Atom	
CORE:0000011	atom	Wikidata:Q1800709	atom	CORE:0000006	material entity	Wikidata:Q56876983	symbol	low	atom			Wikidata:Q1607053|Wikidata:Q16766305|Wikidata:Q20165647|Wikidata:Q267956|Wikidata:Q29719|Wikidata:Q40325709|Wikidata:Q4817193|Wikidata:Q4817196|Wikidata:Q4817198|Wikidata:Q5486899|Wikidata:Q5685120|Wikidata:Q59310616|Wikidata:Q9161734	Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|atom|Atom	
CORE:0000011	atom	Wikidata:Q20165647	Atom	CORE:0000006	material entity	Wikidata:Q482994	album	low	atom			Wikidata:Q1607053|Wikidata:Q16766305|Wikidata:Q1800709|Wikidata:Q267956|Wikidata:Q29719|Wikidata:Q40325709|Wikidata:Q4817193|Wikidata:Q4817196|Wikidata:Q4817198|Wikidata:Q5486899|Wikidata:Q5685120|Wikidata:Q59310616|Wikidata:Q9161734	Atom|Atom|atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|atom|Atom	
CORE:0000011	atom	Wikidata:Q267956	Atom	CORE:0000006	material entity	Wikidata:Q16937237|Wikidata:Q20155966|Wikidata:Q842397	Domain Application Protocol|XML application|web feed	low	atom			Wikidata:Q1607053|Wikidata:Q16766305|Wikidata:Q1800709|Wikidata:Q20165647|Wikidata:Q29719|Wikidata:Q40325709|Wikidata:Q4817193|Wikidata:Q4817196|Wikidata:Q4817198|Wikidata:Q5486899|Wikidata:Q5685120|Wikidata:Q59310616|Wikidata:Q9161734	Atom|Atom|atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|atom|Atom	
CORE:0000011	atom	Wikidata:Q29719	Atom	CORE:0000006	material entity	Wikidata:Q188784	superhero	low	atom			Wikidata:Q1607053|Wikidata:Q16766305|Wikidata:Q1800709|Wikidata:Q20165647|Wikidata:Q267956|Wikidata:Q40325709|Wikidata:Q4817193|Wikidata:Q4817196|Wikidata:Q4817198|Wikidata:Q5486899|Wikidata:Q5685120|Wikidata:Q59310616|Wikidata:Q9161734	Atom|Atom|atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|atom|Atom	
CORE:0000011	atom	Wikidata:Q40325709	Atom	CORE:0000006	material entity	Wikidata:Q5	human	low	atom			Wikidata:Q1607053|Wikidata:Q16766305|Wikidata:Q1800709|Wikidata:Q20165647|Wikidata:Q267956|Wikidata:Q29719|Wikidata:Q4817193|Wikidata:Q4817196|Wikidata:Q4817198|Wikidata:Q5486899|Wikidata:Q5685120|Wikidata:Q59310616|Wikidata:Q9161734	Atom|Atom|atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|atom|Atom	
CORE:0000011	atom	Wikidata:Q4817193	Atom	CORE:0000006	material entity	Wikidata:Q1114461	comics character	low	atom			Wikidata:Q1607053|Wikidata:Q16766305|Wikidata:Q1800709|Wikidata:Q20165647|Wikidata:Q267956|Wikidata:Q29719|Wikidata:Q40325709|Wikidata:Q4817196|Wikidata:Q4817198|Wikidata:Q5486899|Wikidata:Q5685120|Wikidata:Q59310616|Wikidata:Q9161734	Atom|Atom|atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|atom|Atom	
CORE:0000011	atom	Wikidata:Q4817196	Atom	CORE:0000006	material entity	Wikidata:Q7889	video game	low	atom			Wikidata:Q1607053|Wikidata:Q16766305|Wikidata:Q1800709|Wikidata:Q20165647|Wikidata:Q267956|Wikidata:Q29719|Wikidata:Q40325709|Wikidata:Q4817193|Wikidata:Q4817198|Wikidata:Q5486899|Wikidata:Q5685120|Wikidata:Q59310616|Wikidata:Q9161734	Atom|Atom|atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|atom|Atom	
CORE:0000011	atom	Wikidata:Q4817198	Atom	CORE:0000006	material entity	Wikidata:Q1144882|Wikidata:Q9143	declarative programming language|programming language	low	atom			Wikidata:Q1607053|Wikidata:Q16766305|Wikidata:Q1800709|Wikidata:Q20165647|Wikidata:Q267956|Wikidata:Q29719|Wikidata:Q40325709|Wikidata:Q4817193|Wikidata:Q4817196|Wikidata:Q5486899|Wikidata:Q5685120|Wikidata:Q59310616|Wikidata:Q9161734	Atom|Atom|atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|atom|Atom	
CORE:0000011	atom	Wikidata:Q5486899	Atom	CORE:0000006	material entity	Wikidata:Q571	book	low	atom			Wikidata:Q1607053|Wikidata:Q16766305|Wikidata:Q1800709|Wikidata:Q20165647|Wikidata:Q267956|Wikidata:Q29719|Wikidata:Q40325709|Wikidata:Q4817193|Wikidata:Q4817196|Wikidata:Q4817198|Wikidata:Q5685120|Wikidata:Q59310616|Wikidata:Q9161734	Atom|Atom|atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|atom|Atom	
CORE:0000011	atom	Wikidata:Q5685120	Atom	CORE:0000006	material entity	Wikidata:Q1114461|Wikidata:Q15632617|Wikidata:Q15711870|Wikidata:Q15773317|Wikidata:Q188784	comics character|fictional human|animated character|television character|superhero	low	atom			Wikidata:Q1607053|Wikidata:Q16766305|Wikidata:Q1800709|Wikidata:Q20165647|Wikidata:Q267956|Wikidata:Q29719|Wikidata:Q40325709|Wikidata:Q4817193|Wikidata:Q4817196|Wikidata:Q4817198|Wikidata:Q5486899|Wikidata:Q59310616|Wikidata:Q9161734	Atom|Atom|atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|Atom|atom|Atom	
