?x	?xl
<http://purl.obolibrary.org/obo/ENVO_00005741>	"alpine soil"
<http://purl.obolibrary.org/obo/ENVO_01001690>	"mass of liquid"@en
<http://purl.obolibrary.org/obo/ENVO_09200004>	"porosity of soil"
<http://purl.obolibrary.org/obo/ENVO_02000031>	"breast milk material"
<http://purl.obolibrary.org/obo/ENVO_01000007>	"organic object formed through microbial activity"
<http://purl.obolibrary.org/obo/ENVO_02000096>	"iron ore"
<http://purl.obolibrary.org/obo/ENVO_03500011>	"violent environment"@en
<http://purl.obolibrary.org/obo/ENVO_00002252>	"solonchak"
<http://purl.obolibrary.org/obo/ENVO_3200005>	"concentration of dysprosium in lake water"
<http://purl.obolibrary.org/obo/ENVO_00002133>	"anaerobic mud"
<http://purl.obolibrary.org/obo/ENVO_01000164>	"root nodule"
<http://purl.obolibrary.org/obo/ENVO_01000407>	"littoral zone"
<http://purl.obolibrary.org/obo/ENVO_00005747>	"compost soil"
<http://purl.obolibrary.org/obo/ENVO_09000015>	"amount of nitrogen atom in water"
<http://purl.obolibrary.org/obo/ENVO_04000005>	"concentration of carbon dioxide in freshwater"@en
<http://purl.obolibrary.org/obo/ENVO_01001691>	"mass of compounded environmental materials"@en
<http://purl.obolibrary.org/obo/ENVO_01000272>	"mudstone"
<http://purl.obolibrary.org/obo/ENVO_01001189>	"algal material"@en
<http://purl.obolibrary.org/obo/ENVO_01001539>	"branched valley glacier"@en
<http://purl.obolibrary.org/obo/ENVO_00005788>	"rubber plantation soil"
<http://purl.obolibrary.org/obo/ENVO_01001233>	"labile kerogen"@en
<http://purl.obolibrary.org/obo/ENVO_01000477>	"gypsum plaster"
<http://purl.obolibrary.org/obo/ENVO_02000027>	"blood plasma material"
<http://purl.obolibrary.org/obo/ENVO_01000308>	"extraterrestrial environment"
<http://purl.obolibrary.org/obo/ENVO_01000060>	"particulate matter"@en
<http://purl.obolibrary.org/obo/ENVO_00002139>	"pebble"
<http://purl.obolibrary.org/obo/ENVO_3200046>	"concentration of lanthanum in snow"
<http://purl.obolibrary.org/obo/ENVO_01000343>	"altitudinal condition"
<http://purl.obolibrary.org/obo/ENVO_01001845>	"hoar"@en
<http://purl.obolibrary.org/obo/ENVO_00002202>	"organically enriched sediment"
<http://purl.obolibrary.org/obo/ENVO_01000777>	"nurdle"@en
<http://purl.obolibrary.org/obo/ENVO_08000002>	"mouth environment"
<http://purl.obolibrary.org/obo/ENVO_01000349>	"root matter"
<http://purl.obolibrary.org/obo/ENVO_3100002>	"concentration of alloxanthine in liquid water"
<http://purl.obolibrary.org/obo/ENVO_00003096>	"tap water"
<http://purl.obolibrary.org/obo/ENVO_01000136>	"drop stone"
<http://purl.obolibrary.org/obo/ENVO_00005782>	"ornithogenic soil"
<http://purl.obolibrary.org/obo/ENVO_01000427>	"carbon nanotube enriched soil"
<http://purl.obolibrary.org/obo/ENVO_00005767>	"manured soil"
<http://purl.obolibrary.org/obo/ENVO_01000320>	"marine environment"
<http://purl.obolibrary.org/obo/ENVO_00002243>	"histosol"
<http://purl.obolibrary.org/obo/ENVO_01001641>	"glaciation"@en
<http://purl.obolibrary.org/obo/ENVO_02000021>	"amniotic fluid material"
<http://purl.obolibrary.org/obo/ENVO_00005738>	"foam"
<http://purl.obolibrary.org/obo/ENVO_01001044>	"soil environment"@en
<http://purl.obolibrary.org/obo/ENVO_00000344>	"grain of desert sand"
<http://purl.obolibrary.org/obo/ENVO_01000115>	"cobble sediment"
<http://purl.obolibrary.org/obo/ENVO_3200036>	"concentration of thallium in water ice"
<http://purl.obolibrary.org/obo/ENVO_03500008>	"safe environment for human presence"@en
<http://purl.obolibrary.org/obo/ENVO_00002249>	"phaeozem"
<http://purl.obolibrary.org/obo/ENVO_01001647>	"colloid suspended in a hydrosphere"@en
<http://purl.obolibrary.org/obo/ENVO_01001179>	"cnidarian-associated environment"@en
<http://purl.obolibrary.org/obo/ENVO_01000205>	"subtropical"
<http://purl.obolibrary.org/obo/ENVO_01001688>	"mass of fluid"@en
<http://purl.obolibrary.org/obo/ENVO_01000761>	"polar stratospheric cloud"@en
<http://purl.obolibrary.org/obo/ENVO_02000140>	"fluid environmental material"@en
<http://purl.obolibrary.org/obo/ENVO_00005761>	"meadow soil"
<http://purl.obolibrary.org/obo/ENVO_01000156>	"biofilm material"
