?x	?xl
<http://purl.obolibrary.org/obo/FBbt_00005067>	"fat body primordium"
<http://purl.obolibrary.org/obo/FBbt_00005890>	"photoreceptor cell R7 stalk"
<http://purl.obolibrary.org/obo/FBbt_00001133>	"abdominal 8 posterior commissure"
<http://purl.obolibrary.org/obo/FBbt_00005733>	"adult specialized Malpighian tubule cell"
<http://purl.obolibrary.org/obo/FBbt_00110767>	"presumptive mesothoracic coxa-trochanter joint"
<http://purl.obolibrary.org/obo/FBbt_00110360>	"adult LHa4 lineage clone"
<http://purl.obolibrary.org/obo/FBbt_00003977>	"antennal lobe glomerulus DP1"
<http://purl.obolibrary.org/obo/FBbt_00015073>	"dorsomedial neuropil of larval segment A5"
<http://purl.obolibrary.org/obo/FBbt_00003076>	"adult abdominal spiracular branch 4"
<http://purl.obolibrary.org/obo/FBbt_00005434>	"visual anlage"
<http://purl.obolibrary.org/obo/FBbt_00000016>	"thoracic segment"
<http://purl.obolibrary.org/obo/FBbt_00002992>	"pupal ventral anastomosis"
<http://purl.obolibrary.org/obo/FBbt_00004883>	"nurse cell spectrosome"
<http://purl.obolibrary.org/obo/FBbt_00040037>	"inferior neuropils"
<http://purl.obolibrary.org/obo/FBbt_00007126>	"embryonic/larval posterior cervical tract"
<http://purl.obolibrary.org/obo/FBbt_00003353>	"prothoracic intracoxal lateral levator muscle 36"
<http://purl.obolibrary.org/obo/FBbt_00004966>	"posterior ejaculatory duct"
<http://purl.obolibrary.org/obo/FBbt_00001429>	"posterior VUM precursor"
<http://purl.obolibrary.org/obo/FBbt_00110458>	"adult fruitless aSP-f (female) lineage clone"
<http://purl.obolibrary.org/obo/FBbt_00047056>	"mushroom body posterior layer of alpha lobe slice 1"
<http://purl.obolibrary.org/obo/FBbt_00008117>	"mesothoracic leg disc anterior compartment"
<http://purl.obolibrary.org/obo/FBbt_00110855>	"adult fruitless dPR1 lineage clone"
<http://purl.obolibrary.org/obo/FBbt_00050228>	"neuroblast SLPpl1"
<http://purl.obolibrary.org/obo/FBbt_00003414>	"mesothoracic tarsal levator muscle 73"
<http://purl.obolibrary.org/obo/FBbt_00001939>	"lamina anlage"
<http://purl.obolibrary.org/obo/FBbt_00004749>	"wing septum 1"
<http://purl.obolibrary.org/obo/FBbt_00010777>	"abdominal 4 temporary eclosion muscle DA3"
<http://purl.obolibrary.org/obo/FBbt_00005040>	"adult tracheocyte"
<http://purl.obolibrary.org/obo/FBbt_00005497>	"prothoracic gland primordium"
<http://purl.obolibrary.org/obo/FBbt_00111191>	"adult fruitless aSG2 lineage clone"
<http://purl.obolibrary.org/obo/FBbt_00050191>	"adult FLAa1 lineage clone"
<http://purl.obolibrary.org/obo/FBbt_00048535>	"anterior escort cell"
<http://purl.obolibrary.org/obo/FBbt_00000472>	"lateral transverse muscle"
<http://purl.obolibrary.org/obo/FBbt_00005829>	"adult peritrophic membrane"
<http://purl.obolibrary.org/obo/FBbt_00003282>	"skeletal muscle of dorsal head"
<http://purl.obolibrary.org/obo/FBbt_00005422>	"amnioserosa anlage in statu nascendi"
<http://purl.obolibrary.org/obo/FBbt_00048236>	"larval rectal sphincter"
<http://purl.obolibrary.org/obo/FBbt_00047885>	"adult central brain reticular glial cell"
<http://purl.obolibrary.org/obo/FBbt_00110546>	"adult fruitless aIP3 lineage clone"
<http://purl.obolibrary.org/obo/FBbt_00005180>	"bract"
<http://purl.obolibrary.org/obo/FBbt_00004844>	"cercus"
<http://purl.obolibrary.org/obo/FBbt_00110711>	"presumptive discal sclerite"
<http://purl.obolibrary.org/obo/FBbt_00057150>	"interphase secondary spermatocyte"
<http://purl.obolibrary.org/obo/FBbt_00000128>	"trunk mesoderm"
<http://purl.obolibrary.org/obo/FBbt_00100609>	"neuroblast CP2"
<http://purl.obolibrary.org/obo/FBbt_00111525>	"dorsal-ventral compartment boundary of the antennal disc"
