?x	?xl
<http://purl.obolibrary.org/obo/PO_0007093>	"2.05 main shoot and axillary shoots visible at five nodes stage"
<http://purl.obolibrary.org/obo/PO_0019024>	"seed operculum"
<http://purl.obolibrary.org/obo/PO_0000046>	"seminal root"
<http://purl.obolibrary.org/obo/PO_0006006>	"anther wall primary parietal cell layer"
<http://purl.obolibrary.org/obo/PO_0025190>	"leaf abaxial stomatal complex"
<http://purl.obolibrary.org/obo/PO_0025363>	"leaf apex tendril"
<http://purl.obolibrary.org/obo/PO_0025409>	"secondary vascular tissue"
<http://purl.obolibrary.org/obo/PO_0007043>	"hypocotyl emergence stage"
<http://purl.obolibrary.org/obo/PO_0001096>	"primary endosperm cell stage"
<http://purl.obolibrary.org/obo/PO_0004722>	"pedicel cortex"
<http://purl.obolibrary.org/obo/PO_0025402>	"phyllome abaxial meristem"
<http://purl.obolibrary.org/obo/PO_0025518>	"leaf lamina tooth"
<http://purl.obolibrary.org/obo/PO_0009028>	"microsporophyll"
<http://purl.obolibrary.org/obo/PO_0025411>	"ray system"
<http://purl.obolibrary.org/obo/PO_0025137>	"fused tepal"
<http://purl.obolibrary.org/obo/PO_0025201>	"megasporangium"
<http://purl.obolibrary.org/obo/PO_0006213>	"root aerenchyma"
<http://purl.obolibrary.org/obo/PO_0007073>	"2 formation of axillary shoot stage"
<http://purl.obolibrary.org/obo/PO_0030022>	"gametophore stem"
<http://purl.obolibrary.org/obo/PO_0025161>	"portion of plant substance"
<http://purl.obolibrary.org/obo/PO_0025209>	"stamen trichome"
<http://purl.obolibrary.org/obo/PO_0007014>	"booting stage"
<http://purl.obolibrary.org/obo/PO_0004546>	"epicormic shoot system"
<http://purl.obolibrary.org/obo/PO_0025554>	"exarch protoxylem"
<http://purl.obolibrary.org/obo/PO_0020121>	"lateral root"
<http://purl.obolibrary.org/obo/PO_0009064>	"receptacle"
<http://purl.obolibrary.org/obo/PO_0007123>	"LP.06 six leaves visible stage"
<http://purl.obolibrary.org/obo/PO_0025613>	"spine petiole"
<http://purl.obolibrary.org/obo/PO_0025504>	"fruit size up to 10% stage"
<http://purl.obolibrary.org/obo/PO_0030124>	"corymb inflorescence"
<http://purl.obolibrary.org/obo/PO_0025012>	"cotyledon margin"
<http://purl.obolibrary.org/obo/PO_0020054>	"bud scale leaf"
<http://purl.obolibrary.org/obo/PO_0025129>	"petiole lamina"
<http://purl.obolibrary.org/obo/PO_0004517>	"growth ring boundary"
<http://purl.obolibrary.org/obo/PO_0025394>	"pappus element"
<http://purl.obolibrary.org/obo/PO_0025320>	"cotyledonary node rhizoid"
<http://purl.obolibrary.org/obo/PO_0005015>	"embryo endodermis"
<http://purl.obolibrary.org/obo/PO_0009035>	"nectary"
<http://purl.obolibrary.org/obo/PO_0001378>	"sepals enclosing meristem stage"
<http://purl.obolibrary.org/obo/PO_0008026>	"petiole distal end"
<http://purl.obolibrary.org/obo/PO_0025464>	"cell expansion stage of secondary xylem"
<http://purl.obolibrary.org/obo/PO_0005058>	"shoot axis endodermis"
<http://purl.obolibrary.org/obo/PO_0007099>	"SE.97 flag leaf visible stage"
